"Pin
References : ['Eff']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","Eff
References : []
Dependency : [Pin]
Num. Points : [6001]
Matrix Size : scalar
Type : Real"
-20,5.84E-07
-19.99,5.86E-07
-19.98,5.88E-07
-19.97,5.90E-07
-19.96,5.92E-07
-19.95,5.94E-07
-19.94,5.96E-07
-19.93,5.98E-07
-19.92,6.00E-07
-19.91,6.02E-07
-19.9,6.04E-07
-19.89,6.06E-07
-19.88,6.08E-07
-19.87,6.10E-07
-19.86,6.12E-07
-19.85,6.14E-07
-19.84,6.16E-07
-19.83,6.18E-07
-19.82,6.20E-07
-19.81,6.22E-07
-19.8,6.25E-07
-19.79,6.27E-07
-19.78,6.29E-07
-19.77,6.31E-07
-19.76,6.33E-07
-19.75,6.35E-07
-19.74,6.37E-07
-19.73,6.40E-07
-19.72,6.42E-07
-19.71,6.44E-07
-19.7,6.46E-07
-19.69,6.48E-07
-19.68,6.51E-07
-19.67,6.53E-07
-19.66,6.55E-07
-19.65,6.57E-07
-19.64,6.60E-07
-19.63,6.62E-07
-19.62,6.64E-07
-19.61,6.66E-07
-19.6,6.69E-07
-19.59,6.71E-07
-19.58,6.73E-07
-19.57,6.76E-07
-19.56,6.78E-07
-19.55,6.80E-07
-19.54,6.83E-07
-19.53,6.85E-07
-19.52,6.87E-07
-19.51,6.90E-07
-19.5,6.92E-07
-19.49,6.94E-07
-19.48,6.97E-07
-19.47,6.99E-07
-19.46,7.02E-07
-19.45,7.04E-07
-19.44,7.07E-07
-19.43,7.09E-07
-19.42,7.12E-07
-19.41,7.14E-07
-19.4,7.17E-07
-19.39,7.19E-07
-19.38,7.22E-07
-19.37,7.24E-07
-19.36,7.27E-07
-19.35,7.29E-07
-19.34,7.32E-07
-19.33,7.34E-07
-19.32,7.37E-07
-19.31,7.39E-07
-19.3,7.42E-07
-19.29,7.45E-07
-19.28,7.47E-07
-19.27,7.50E-07
-19.26,7.53E-07
-19.25,7.55E-07
-19.24,7.58E-07
-19.23,7.61E-07
-19.22,7.63E-07
-19.21,7.66E-07
-19.2,7.69E-07
-19.19,7.71E-07
-19.18,7.74E-07
-19.17,7.77E-07
-19.16,7.80E-07
-19.15,7.82E-07
-19.14,7.85E-07
-19.13,7.88E-07
-19.12,7.91E-07
-19.11,7.94E-07
-19.1,7.96E-07
-19.09,7.99E-07
-19.08,8.02E-07
-19.07,8.05E-07
-19.06,8.08E-07
-19.05,8.11E-07
-19.04,8.14E-07
-19.03,8.17E-07
-19.02,8.20E-07
-19.01,8.23E-07
-19,8.26E-07
-18.99,8.28E-07
-18.98,8.31E-07
-18.97,8.34E-07
-18.96,8.37E-07
-18.95,8.41E-07
-18.94,8.44E-07
-18.93,8.47E-07
-18.92,8.50E-07
-18.91,8.53E-07
-18.9,8.56E-07
-18.89,8.59E-07
-18.88,8.62E-07
-18.87,8.65E-07
-18.86,8.68E-07
-18.85,8.72E-07
-18.84,8.75E-07
-18.83,8.78E-07
-18.82,8.81E-07
-18.81,8.84E-07
-18.8,8.88E-07
-18.79,8.91E-07
-18.78,8.94E-07
-18.77,8.97E-07
-18.76,9.01E-07
-18.75,9.04E-07
-18.74,9.07E-07
-18.73,9.11E-07
-18.72,9.14E-07
-18.71,9.17E-07
-18.7,9.21E-07
-18.69,9.24E-07
-18.68,9.28E-07
-18.67,9.31E-07
-18.66,9.34E-07
-18.65,9.38E-07
-18.64,9.41E-07
-18.63,9.45E-07
-18.62,9.48E-07
-18.61,9.52E-07
-18.6,9.55E-07
-18.59,9.59E-07
-18.58,9.63E-07
-18.57,9.66E-07
-18.56,9.70E-07
-18.55,9.73E-07
-18.54,9.77E-07
-18.53,9.81E-07
-18.52,9.84E-07
-18.51,9.88E-07
-18.5,9.92E-07
-18.49,9.95E-07
-18.48,9.99E-07
-18.47,1.00E-06
-18.46,1.01E-06
-18.45,1.01E-06
-18.44,1.01E-06
-18.43,1.02E-06
-18.42,1.02E-06
-18.41,1.03E-06
-18.4,1.03E-06
-18.39,1.03E-06
-18.38,1.04E-06
-18.37,1.04E-06
-18.36,1.05E-06
-18.35,1.05E-06
-18.34,1.05E-06
-18.33,1.06E-06
-18.32,1.06E-06
-18.31,1.07E-06
-18.3,1.07E-06
-18.29,1.07E-06
-18.28,1.08E-06
-18.27,1.08E-06
-18.26,1.09E-06
-18.25,1.09E-06
-18.24,1.09E-06
-18.23,1.10E-06
-18.22,1.10E-06
-18.21,1.11E-06
-18.2,1.11E-06
-18.19,1.12E-06
-18.18,1.12E-06
-18.17,1.12E-06
-18.16,1.13E-06
-18.15,1.13E-06
-18.14,1.14E-06
-18.13,1.14E-06
-18.12,1.15E-06
-18.11,1.15E-06
-18.1,1.16E-06
-18.09,1.16E-06
-18.08,1.16E-06
-18.07,1.17E-06
-18.06,1.17E-06
-18.05,1.18E-06
-18.04,1.18E-06
-18.03,1.19E-06
-18.02,1.19E-06
-18.01,1.20E-06
-18,1.20E-06
-17.99,1.21E-06
-17.98,1.21E-06
-17.97,1.22E-06
-17.96,1.22E-06
-17.95,1.22E-06
-17.94,1.23E-06
-17.93,1.23E-06
-17.92,1.24E-06
-17.91,1.24E-06
-17.9,1.25E-06
-17.89,1.25E-06
-17.88,1.26E-06
-17.87,1.26E-06
-17.86,1.27E-06
-17.85,1.27E-06
-17.84,1.28E-06
-17.83,1.28E-06
-17.82,1.29E-06
-17.81,1.29E-06
-17.8,1.30E-06
-17.79,1.30E-06
-17.78,1.31E-06
-17.77,1.32E-06
-17.76,1.32E-06
-17.75,1.33E-06
-17.74,1.33E-06
-17.73,1.34E-06
-17.72,1.34E-06
-17.71,1.35E-06
-17.7,1.35E-06
-17.69,1.36E-06
-17.68,1.36E-06
-17.67,1.37E-06
-17.66,1.37E-06
-17.65,1.38E-06
-17.64,1.39E-06
-17.63,1.39E-06
-17.62,1.40E-06
-17.61,1.40E-06
-17.6,1.41E-06
-17.59,1.41E-06
-17.58,1.42E-06
-17.57,1.43E-06
-17.56,1.43E-06
-17.55,1.44E-06
-17.54,1.44E-06
-17.53,1.45E-06
-17.52,1.45E-06
-17.51,1.46E-06
-17.5,1.47E-06
-17.49,1.47E-06
-17.48,1.48E-06
-17.47,1.48E-06
-17.46,1.49E-06
-17.45,1.50E-06
-17.44,1.50E-06
-17.43,1.51E-06
-17.42,1.52E-06
-17.41,1.52E-06
-17.4,1.53E-06
-17.39,1.53E-06
-17.38,1.54E-06
-17.37,1.55E-06
-17.36,1.55E-06
-17.35,1.56E-06
-17.34,1.57E-06
-17.33,1.57E-06
-17.32,1.58E-06
-17.31,1.59E-06
-17.3,1.59E-06
-17.29,1.60E-06
-17.28,1.61E-06
-17.27,1.61E-06
-17.26,1.62E-06
-17.25,1.63E-06
-17.24,1.63E-06
-17.23,1.64E-06
-17.22,1.65E-06
-17.21,1.65E-06
-17.2,1.66E-06
-17.19,1.67E-06
-17.18,1.67E-06
-17.17,1.68E-06
-17.16,1.69E-06
-17.15,1.70E-06
-17.14,1.70E-06
-17.13,1.71E-06
-17.12,1.72E-06
-17.11,1.73E-06
-17.1,1.73E-06
-17.09,1.74E-06
-17.08,1.75E-06
-17.07,1.75E-06
-17.06,1.76E-06
-17.05,1.77E-06
-17.04,1.78E-06
-17.03,1.78E-06
-17.02,1.79E-06
-17.01,1.80E-06
-17,1.81E-06
-16.99,1.82E-06
-16.98,1.82E-06
-16.97,1.83E-06
-16.96,1.84E-06
-16.95,1.85E-06
-16.94,1.86E-06
-16.93,1.86E-06
-16.92,1.87E-06
-16.91,1.88E-06
-16.9,1.89E-06
-16.89,1.90E-06
-16.88,1.90E-06
-16.87,1.91E-06
-16.86,1.92E-06
-16.85,1.93E-06
-16.84,1.94E-06
-16.83,1.95E-06
-16.82,1.95E-06
-16.81,1.96E-06
-16.8,1.97E-06
-16.79,1.98E-06
-16.78,1.99E-06
-16.77,2.00E-06
-16.76,2.01E-06
-16.75,2.02E-06
-16.74,2.02E-06
-16.73,2.03E-06
-16.72,2.04E-06
-16.71,2.05E-06
-16.7,2.06E-06
-16.69,2.07E-06
-16.68,2.08E-06
-16.67,2.09E-06
-16.66,2.10E-06
-16.65,2.11E-06
-16.64,2.12E-06
-16.63,2.12E-06
-16.62,2.13E-06
-16.61,2.14E-06
-16.6,2.15E-06
-16.59,2.16E-06
-16.58,2.17E-06
-16.57,2.18E-06
-16.56,2.19E-06
-16.55,2.20E-06
-16.54,2.21E-06
-16.53,2.22E-06
-16.52,2.23E-06
-16.51,2.24E-06
-16.5,2.25E-06
-16.49,2.26E-06
-16.48,2.27E-06
-16.47,2.28E-06
-16.46,2.29E-06
-16.45,2.30E-06
-16.44,2.31E-06
-16.43,2.32E-06
-16.42,2.34E-06
-16.41,2.35E-06
-16.4,2.36E-06
-16.39,2.37E-06
-16.38,2.38E-06
-16.37,2.39E-06
-16.36,2.40E-06
-16.35,2.41E-06
-16.34,2.42E-06
-16.33,2.43E-06
-16.32,2.44E-06
-16.31,2.46E-06
-16.3,2.47E-06
-16.29,2.48E-06
-16.28,2.49E-06
-16.27,2.50E-06
-16.26,2.51E-06
-16.25,2.52E-06
-16.24,2.54E-06
-16.23,2.55E-06
-16.22,2.56E-06
-16.21,2.57E-06
-16.2,2.58E-06
-16.19,2.60E-06
-16.18,2.61E-06
-16.17,2.62E-06
-16.16,2.63E-06
-16.15,2.64E-06
-16.14,2.66E-06
-16.13,2.67E-06
-16.12,2.68E-06
-16.11,2.69E-06
-16.1,2.71E-06
-16.09,2.72E-06
-16.08,2.73E-06
-16.07,2.75E-06
-16.06,2.76E-06
-16.05,2.77E-06
-16.04,2.79E-06
-16.03,2.80E-06
-16.02,2.81E-06
-16.01,2.82E-06
-16,2.84E-06
-15.99,2.85E-06
-15.98,2.87E-06
-15.97,2.88E-06
-15.96,2.89E-06
-15.95,2.91E-06
-15.94,2.92E-06
-15.93,2.93E-06
-15.92,2.95E-06
-15.91,2.96E-06
-15.9,2.98E-06
-15.89,2.99E-06
-15.88,3.01E-06
-15.87,3.02E-06
-15.86,3.03E-06
-15.85,3.05E-06
-15.84,3.06E-06
-15.83,3.08E-06
-15.82,3.09E-06
-15.81,3.11E-06
-15.8,3.12E-06
-15.79,3.14E-06
-15.78,3.15E-06
-15.77,3.17E-06
-15.76,3.19E-06
-15.75,3.20E-06
-15.74,3.22E-06
-15.73,3.23E-06
-15.72,3.25E-06
-15.71,3.26E-06
-15.7,3.28E-06
-15.69,3.30E-06
-15.68,3.31E-06
-15.67,3.33E-06
-15.66,3.35E-06
-15.65,3.36E-06
-15.64,3.38E-06
-15.63,3.40E-06
-15.62,3.41E-06
-15.61,3.43E-06
-15.6,3.45E-06
-15.59,3.46E-06
-15.58,3.48E-06
-15.57,3.50E-06
-15.56,3.52E-06
-15.55,3.53E-06
-15.54,3.55E-06
-15.53,3.57E-06
-15.52,3.59E-06
-15.51,3.60E-06
-15.5,3.62E-06
-15.49,3.64E-06
-15.48,3.66E-06
-15.47,3.68E-06
-15.46,3.70E-06
-15.45,3.71E-06
-15.44,3.73E-06
-15.43,3.75E-06
-15.42,3.77E-06
-15.41,3.79E-06
-15.4,3.81E-06
-15.39,3.83E-06
-15.38,3.85E-06
-15.37,3.87E-06
-15.36,3.89E-06
-15.35,3.91E-06
-15.34,3.93E-06
-15.33,3.95E-06
-15.32,3.97E-06
-15.31,3.99E-06
-15.3,4.01E-06
-15.29,4.03E-06
-15.28,4.05E-06
-15.27,4.07E-06
-15.26,4.09E-06
-15.25,4.11E-06
-15.24,4.13E-06
-15.23,4.16E-06
-15.22,4.18E-06
-15.21,4.20E-06
-15.2,4.22E-06
-15.19,4.24E-06
-15.18,4.26E-06
-15.17,4.29E-06
-15.16,4.31E-06
-15.15,4.33E-06
-15.14,4.35E-06
-15.13,4.38E-06
-15.12,4.40E-06
-15.11,4.42E-06
-15.1,4.45E-06
-15.09,4.47E-06
-15.08,4.49E-06
-15.07,4.52E-06
-15.06,4.54E-06
-15.05,4.56E-06
-15.04,4.59E-06
-15.03,4.61E-06
-15.02,4.64E-06
-15.01,4.66E-06
-15,4.69E-06
-14.99,4.71E-06
-14.98,4.74E-06
-14.97,4.76E-06
-14.96,4.79E-06
-14.95,4.81E-06
-14.94,4.84E-06
-14.93,4.86E-06
-14.92,4.89E-06
-14.91,4.92E-06
-14.9,4.94E-06
-14.89,4.97E-06
-14.88,5.00E-06
-14.87,5.02E-06
-14.86,5.05E-06
-14.85,5.08E-06
-14.84,5.11E-06
-14.83,5.13E-06
-14.82,5.16E-06
-14.81,5.19E-06
