"Pin
References : ['Eff']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","Eff
References : []
Dependency : [Pin]
Num. Points : [61]
Matrix Size : scalar
Type : Real"
-20.000,2.926E-7
-19.000,4.139E-7
-18.000,6.022E-7
-17.000,9.074E-7
-16.000,1.426E-6
-15.000,2.360E-6
-14.000,4.149E-6
-13.000,7.837E-6
-12.000,1.607E-5
-11.000,3.615E-5
-10.000,8.973E-5
-9.000,2.455E-4
-8.000,0.001
-7.000,0.002
-6.000,0.007
-5.000,0.017
-4.000,0.037
-3.000,0.069
-2.000,0.110
-1.000,0.158
0.000,0.208
1.000,0.259
2.000,0.309
3.000,0.357
4.000,0.403
5.000,0.446
6.000,0.485
7.000,0.521
8.000,0.550
9.000,0.574
10.000,0.599
11.000,0.633
12.000,0.656
13.000,0.668
14.000,0.674
15.000,0.679
16.000,0.698
17.000,0.730
18.000,0.746
19.000,0.754
20.000,0.759
21.000,0.761
22.000,0.762
23.000,0.687
24.000,0.578
25.000,0.489
26.000,0.417
27.000,0.348
28.000,0.293
29.000,0.246
30.000,0.205
31.000,0.179
32.000,0.157
33.000,0.139
34.000,0.124
35.000,0.110
36.000,0.096
37.000,0.084
38.000,0.073
39.000,0.063
40.000,0.055
