Part_No.,Bv(V),Cj0(pF),Eg(eV),Ibv(A),Is(A),N,Rs(Ω),Vj(PB) (V),Xti(PT),M,Tt(sec),datasheet path
HSMS-285x,3.8,0.18,0.69,3.00E-03,3.00E-05,1.06,25,0.35,2,0.5,1.00E-11,./HSMS-2860.PDF
HSMS-286x,7,0.18,0.69,1.00E-04,5.00E-07,1.08,5,0.65,2,0.5,1.00E-11,./HSMS-2860.PDF
HSMS-282x,15,0.7,0.69,1.00E-04,2.20E-08,1.08,6,0.65,2,0.5,1.00E-11,./HSMS-282X.PDF
HSMS-280x,75,1.6,0.69,1.00E-05,3.00E-08,1.08,30,0.65,2,0.5,1.00E-11,./HSMS-280X.PDF
HSMS-270x,25,6.7,0.55,1.00E-03,1.40E-07,1.04,0.65,0.6,2,0.5,1.00E-11,./HSMS-2700.PDF
CDC7630-000,2,0.14,0.69,1.00E-04,5.00E-06,1.05,20,0.34,2,0.4,1.00E-11,./CDC_and_DDC_Series_Schottky_Diodes_200843I.pdf
CDC7631-000,2,0.08,0.69,1.00E-04,3.80E-06,1.05,51,0.34,2,0.4,1.00E-11,./CDC_and_DDC_Series_Schottky_Diodes_200843I.pdf
DMF3926,2,0.42,0.69,1.00E-05,2.50E-07,1.04,4,0.51,2,0.32,1.00E-11,./Silicon_Beamless_Schottky_Diodes_200793D.pdf
DMF3927,3,0.39,0.69,1.00E-05,1.30E-09,1.04,4,0.69,2,0.34,1.00E-11,./Silicon_Beamless_Schottky_Diodes_200793D.pdf
DMJ3926,3,0.39,0.69,1.00E-05,9.00E-13,1.04,4,0.84,2,0.42,1.00E-11,./Silicon_Beamless_Schottky_Diodes_200793D.pdf
DMF4102,2,0.22,0.69,1.00E-05,1.10E-07,1.04,6,0.495,2,0.32,1.00E-11,./Silicon_Beamless_Schottky_Diodes_200793D.pdf
DME4101,3,0.2,0.69,1.00E-05,2.40E-09,1.04,6,0.595,2,0.37,1.00E-11,./Silicon_Beamless_Schottky_Diodes_200793D.pdf
DMJ4103,4,0.2,0.69,1.00E-05,8.50E-13,1.04,6,0.8,2,0.42,1.00E-11,./Silicon_Beamless_Schottky_Diodes_200793D.pdf
